pure_protection_grouped_by,subcategory,category,date,number_of_sales
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,93773
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,76004
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,84409
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,84823
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,88222
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,97926
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q1-2017,27329
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q1-2018,33196
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q1-2019,41548
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q1-2021,47793
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q1-2020,54206
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q2-2017,34776
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q2-2020,36773
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q2-2018,37927
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q2-2019,46848
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q2-2021,51477
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q3-2017,37296
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q3-2018,39186
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q3-2020,40479
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q3-2021,47356
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q3-2019,48815
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q4-2017,37197
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q4-2018,43150
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q4-2020,47726
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q4-2021,47927
Number of provider and non-provider sales by product type,Non-provider,Income protection,Q4-2019,50314
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q1-2018,1425
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q1-2017,2160
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q1-2019,5199
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q1-2021,11999
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q1-2020,13379
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q2-2018,1422
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q2-2017,1894
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q2-2019,3876
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q2-2020,8742
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q2-2021,12082
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q3-2018,1791
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q3-2017,2132
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q3-2019,4073
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q3-2020,9719
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q3-2021,11516
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q4-2017,1663
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q4-2018,3732
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q4-2019,4527
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q4-2020,10328
Number of provider and non-provider sales by product type,Non-provider,Standalone critical illness,Q4-2021,11048
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,2906
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,4342
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,4949
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,11221
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,11426
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,2375
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,4154
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,9882
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,10271
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,10836
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,2680
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,5110
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,5223
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,9597
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,9792
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,1103
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,5011
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,8631
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,10605
Number of provider and non-provider sales by product type,Provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,10764
Number of provider and non-provider sales by product type,Provider,Income protection,Q1-2021,318
Number of provider and non-provider sales by product type,Provider,Income protection,Q1-2020,855
Number of provider and non-provider sales by product type,Provider,Income protection,Q1-2017,1673
Number of provider and non-provider sales by product type,Provider,Income protection,Q1-2019,1739
Number of provider and non-provider sales by product type,Provider,Income protection,Q1-2018,1761
Number of provider and non-provider sales by product type,Provider,Income protection,Q2-2021,338
Number of provider and non-provider sales by product type,Provider,Income protection,Q2-2020,370
Number of provider and non-provider sales by product type,Provider,Income protection,Q2-2017,1966
Number of provider and non-provider sales by product type,Provider,Income protection,Q2-2018,1978
Number of provider and non-provider sales by product type,Provider,Income protection,Q2-2019,2029
Number of provider and non-provider sales by product type,Provider,Income protection,Q3-2020,335
Number of provider and non-provider sales by product type,Provider,Income protection,Q3-2021,755
Number of provider and non-provider sales by product type,Provider,Income protection,Q3-2019,1680
Number of provider and non-provider sales by product type,Provider,Income protection,Q3-2018,1715
Number of provider and non-provider sales by product type,Provider,Income protection,Q3-2017,1875
Number of provider and non-provider sales by product type,Provider,Income protection,Q4-2020,382
Number of provider and non-provider sales by product type,Provider,Income protection,Q4-2021,758
Number of provider and non-provider sales by product type,Provider,Income protection,Q4-2019,1246
Number of provider and non-provider sales by product type,Provider,Income protection,Q4-2017,1699
Number of provider and non-provider sales by product type,Provider,Income protection,Q4-2018,1806
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q1-2019,1426
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q1-2018,1555
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q1-2017,2131
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q1-2020,3139
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q1-2021,4113
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q2-2018,1285
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q2-2019,1967
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q2-2017,2255
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q2-2020,2563
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q2-2021,3546
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q3-2018,1259
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q3-2019,1620
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q3-2017,2437
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q3-2020,3024
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q3-2021,3332
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q4-2019,1314
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q4-2018,1879
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q4-2017,2372
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q4-2021,3037
Number of provider and non-provider sales by product type,Provider,Standalone critical illness,Q4-2020,3064
