retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of provider and non-provider sales by sector,Q4-2020,Retail Investments,Non-provider,112207
Number of provider and non-provider sales by sector,Q1-2018,Retail Investments,Provider,47341
Number of provider and non-provider sales by sector,Q1-2017,Retail Investments,Provider,49347
Number of provider and non-provider sales by sector,Q1-2019,Retail Investments,Provider,54537
Number of provider and non-provider sales by sector,Q1-2020,Retail Investments,Provider,62203
Number of provider and non-provider sales by sector,Q1-2021,Retail Investments,Provider,82762
Number of provider and non-provider sales by sector,Q2-2020,Retail Investments,Provider,51044
Number of provider and non-provider sales by sector,Q2-2017,Retail Investments,Provider,59924
Number of provider and non-provider sales by sector,Q2-2019,Retail Investments,Provider,65367
Number of provider and non-provider sales by sector,Q2-2018,Retail Investments,Provider,69692
Number of provider and non-provider sales by sector,Q2-2021,Retail Investments,Provider,70061
Number of provider and non-provider sales by sector,Q3-2017,Retail Investments,Provider,45154
Number of provider and non-provider sales by sector,Q3-2018,Retail Investments,Provider,50141
Number of provider and non-provider sales by sector,Q3-2020,Retail Investments,Provider,54334
Number of provider and non-provider sales by sector,Q3-2019,Retail Investments,Provider,60144
Number of provider and non-provider sales by sector,Q3-2021,Retail Investments,Provider,63455
Number of provider and non-provider sales by sector,Q4-2017,Retail Investments,Provider,58723
Number of provider and non-provider sales by sector,Q4-2018,Retail Investments,Provider,59211
Number of provider and non-provider sales by sector,Q4-2020,Retail Investments,Provider,60599
Number of provider and non-provider sales by sector,Q4-2021,Retail Investments,Provider,71698
Number of provider and non-provider sales by sector,Q4-2019,Retail Investments,Provider,84972
Number of provider and non-provider sales by sector,Q1-2021,Wholesale Financial Markets,Non-provider,671
Number of provider and non-provider sales by sector,Q1-2019,Wholesale Financial Markets,Non-provider,1727
Number of provider and non-provider sales by sector,Q1-2020,Wholesale Financial Markets,Non-provider,2028
Number of provider and non-provider sales by sector,Q1-2018,Wholesale Financial Markets,Non-provider,2620
Number of provider and non-provider sales by sector,Q1-2017,Wholesale Financial Markets,Non-provider,4419
Number of provider and non-provider sales by sector,Q2-2020,Wholesale Financial Markets,Non-provider,1371
Number of provider and non-provider sales by sector,Q2-2018,Wholesale Financial Markets,Non-provider,1704
Number of provider and non-provider sales by sector,Q2-2019,Wholesale Financial Markets,Non-provider,1963
Number of provider and non-provider sales by sector,Q2-2017,Wholesale Financial Markets,Non-provider,4303
Number of provider and non-provider sales by sector,Q3-2020,Wholesale Financial Markets,Non-provider,744
Number of provider and non-provider sales by sector,Q3-2019,Wholesale Financial Markets,Non-provider,1248
Number of provider and non-provider sales by sector,Q3-2018,Wholesale Financial Markets,Non-provider,2133
Number of provider and non-provider sales by sector,Q3-2017,Wholesale Financial Markets,Non-provider,4050
Number of provider and non-provider sales by sector,Q4-2020,Wholesale Financial Markets,Non-provider,1131
Number of provider and non-provider sales by sector,Q4-2018,Wholesale Financial Markets,Non-provider,1940
Number of provider and non-provider sales by sector,Q4-2017,Wholesale Financial Markets,Non-provider,2729
Number of provider and non-provider sales by sector,Q4-2019,Wholesale Financial Markets,Non-provider,3137
Number of provider and non-provider sales by sector,Q1-2019,Wholesale Financial Markets,Provider,2005
Number of provider and non-provider sales by sector,Q1-2017,Wholesale Financial Markets,Provider,2881
Number of provider and non-provider sales by sector,Q1-2018,Wholesale Financial Markets,Provider,3653
Number of provider and non-provider sales by sector,Q1-2020,Wholesale Financial Markets,Provider,4516
Number of provider and non-provider sales by sector,Q1-2021,Wholesale Financial Markets,Provider,4972
Number of provider and non-provider sales by sector,Q2-2017,Wholesale Financial Markets,Provider,2390
Number of provider and non-provider sales by sector,Q2-2018,Wholesale Financial Markets,Provider,2784
Number of provider and non-provider sales by sector,Q2-2020,Wholesale Financial Markets,Provider,3542
Number of provider and non-provider sales by sector,Q2-2019,Wholesale Financial Markets,Provider,3871
Number of provider and non-provider sales by sector,Q2-2021,Wholesale Financial Markets,Provider,4948
Number of provider and non-provider sales by sector,Q3-2018,Wholesale Financial Markets,Provider,944
Number of provider and non-provider sales by sector,Q3-2017,Wholesale Financial Markets,Provider,1964
Number of provider and non-provider sales by sector,Q3-2019,Wholesale Financial Markets,Provider,3452
Number of provider and non-provider sales by sector,Q3-2020,Wholesale Financial Markets,Provider,3731
Number of provider and non-provider sales by sector,Q3-2021,Wholesale Financial Markets,Provider,3832
Number of provider and non-provider sales by sector,Q4-2018,Wholesale Financial Markets,Provider,1528
Number of provider and non-provider sales by sector,Q4-2017,Wholesale Financial Markets,Provider,2097
Number of provider and non-provider sales by sector,Q4-2019,Wholesale Financial Markets,Provider,2415
Number of provider and non-provider sales by sector,Q4-2021,Wholesale Financial Markets,Provider,3169
Number of provider and non-provider sales by sector,Q4-2020,Wholesale Financial Markets,Provider,3946
Number of provider and non-provider sales by sector,Q1-2021,Other Portfolio Sector,Provider and non-provider,1174
Number of provider and non-provider sales by sector,Q1-2018,Other Portfolio Sector,Provider and non-provider,1818
Number of provider and non-provider sales by sector,Q1-2020,Other Portfolio Sector,Provider and non-provider,1832
Number of provider and non-provider sales by sector,Q1-2019,Other Portfolio Sector,Provider and non-provider,2051
Number of provider and non-provider sales by sector,Q1-2017,Other Portfolio Sector,Provider and non-provider,3100
Number of provider and non-provider sales by sector,Q2-2020,Other Portfolio Sector,Provider and non-provider,914
Number of provider and non-provider sales by sector,Q2-2021,Other Portfolio Sector,Provider and non-provider,1210
Number of provider and non-provider sales by sector,Q2-2017,Other Portfolio Sector,Provider and non-provider,2465
Number of provider and non-provider sales by sector,Q2-2019,Other Portfolio Sector,Provider and non-provider,2934
Number of provider and non-provider sales by sector,Q2-2018,Other Portfolio Sector,Provider and non-provider,5184
Number of provider and non-provider sales by sector,Q3-2020,Other Portfolio Sector,Provider and non-provider,1139
Number of provider and non-provider sales by sector,Q3-2019,Other Portfolio Sector,Provider and non-provider,1478
Number of provider and non-provider sales by sector,Q3-2021,Other Portfolio Sector,Provider and non-provider,1920
Number of provider and non-provider sales by sector,Q3-2017,Other Portfolio Sector,Provider and non-provider,2187
Number of provider and non-provider sales by sector,Q3-2018,Other Portfolio Sector,Provider and non-provider,2309
Number of provider and non-provider sales by sector,Q4-2020,Other Portfolio Sector,Provider and non-provider,901
Number of provider and non-provider sales by sector,Q4-2018,Other Portfolio Sector,Provider and non-provider,1583
Number of provider and non-provider sales by sector,Q4-2019,Other Portfolio Sector,Provider and non-provider,1605
Number of provider and non-provider sales by sector,Q4-2017,Other Portfolio Sector,Provider and non-provider,1835
Number of provider and non-provider sales by sector,Q4-2021,Other Portfolio Sector,Provider and non-provider,1880
Number of sales by premium payment method type and sector,Q1-2018,Investment Management,Regular Payment,56160
Number of sales by premium payment method type and sector,Q1-2017,Investment Management,Regular Payment,62240
Number of sales by premium payment method type and sector,Q1-2021,Investment Management,Regular Payment,90542
Number of sales by premium payment method type and sector,Q1-2020,Investment Management,Regular Payment,94916
Number of sales by premium payment method type and sector,Q1-2019,Investment Management,Regular Payment,95996
Number of sales by premium payment method type and sector,Q2-2017,Investment Management,Regular Payment,72852
Number of sales by premium payment method type and sector,Q2-2021,Investment Management,Regular Payment,98875
Number of sales by premium payment method type and sector,Q2-2020,Investment Management,Regular Payment,100426
Number of sales by premium payment method type and sector,Q2-2019,Investment Management,Regular Payment,109690
Number of sales by premium payment method type and sector,Q2-2018,Investment Management,Regular Payment,132588
Number of sales by premium payment method type and sector,Q3-2017,Investment Management,Regular Payment,68694
Number of sales by premium payment method type and sector,Q3-2020,Investment Management,Regular Payment,68892
Number of sales by premium payment method type and sector,Q3-2019,Investment Management,Regular Payment,92766
Number of sales by premium payment method type and sector,Q3-2018,Investment Management,Regular Payment,93869
Number of sales by premium payment method type and sector,Q3-2021,Investment Management,Regular Payment,101138
Number of sales by premium payment method type and sector,Q4-2017,Investment Management,Regular Payment,76964
Number of sales by premium payment method type and sector,Q4-2020,Investment Management,Regular Payment,91661
Number of sales by premium payment method type and sector,Q4-2019,Investment Management,Regular Payment,103220
Number of sales by premium payment method type and sector,Q4-2021,Investment Management,Regular Payment,110098
Number of sales by premium payment method type and sector,Q4-2018,Investment Management,Regular Payment,110997
Number of sales by premium payment method type and sector,Q1-2019,Investment Management,Single Payment,62650
Number of sales by premium payment method type and sector,Q1-2018,Investment Management,Single Payment,74141
Number of sales by premium payment method type and sector,Q1-2017,Investment Management,Single Payment,79905
Number of sales by premium payment method type and sector,Q1-2020,Investment Management,Single Payment,88061
Number of sales by premium payment method type and sector,Q1-2021,Investment Management,Single Payment,156601
Number of sales by premium payment method type and sector,Q2-2019,Investment Management,Single Payment,68500
Number of sales by premium payment method type and sector,Q2-2018,Investment Management,Single Payment,71418
Number of sales by premium payment method type and sector,Q2-2017,Investment Management,Single Payment,78020
Number of sales by premium payment method type and sector,Q2-2020,Investment Management,Single Payment,80691
Number of sales by premium payment method type and sector,Q2-2021,Investment Management,Single Payment,185412
Number of sales by premium payment method type and sector,Q3-2019,Investment Management,Single Payment,60355
Number of sales by premium payment method type and sector,Q3-2018,Investment Management,Single Payment,63467
Number of sales by premium payment method type and sector,Q3-2017,Investment Management,Single Payment,68764
Number of sales by premium payment method type and sector,Q3-2020,Investment Management,Single Payment,72672
Number of sales by premium payment method type and sector,Q3-2021,Investment Management,Single Payment,136203
Number of sales by premium payment method type and sector,Q4-2019,Investment Management,Single Payment,62964
Number of sales by premium payment method type and sector,Q4-2018,Investment Management,Single Payment,66677
Number of sales by premium payment method type and sector,Q4-2017,Investment Management,Single Payment,73442
Number of sales by premium payment method type and sector,Q4-2020,Investment Management,Single Payment,103739
Number of sales by premium payment method type and sector,Q4-2021,Investment Management,Single Payment,136860
Number of sales by premium payment method type and sector,Q1-2021,Other Portfolio Sector,Regular Payment,727
Number of sales by premium payment method type and sector,Q1-2018,Other Portfolio Sector,Regular Payment,830
Number of sales by premium payment method type and sector,Q1-2017,Other Portfolio Sector,Regular Payment,885
Number of sales by premium payment method type and sector,Q1-2019,Other Portfolio Sector,Regular Payment,1100
Number of sales by premium payment method type and sector,Q1-2020,Other Portfolio Sector,Regular Payment,1179
Number of sales by premium payment method type and sector,Q2-2020,Other Portfolio Sector,Regular Payment,630
Number of sales by premium payment method type and sector,Q2-2017,Other Portfolio Sector,Regular Payment,845
Number of sales by premium payment method type and sector,Q2-2021,Other Portfolio Sector,Regular Payment,873
Number of sales by premium payment method type and sector,Q2-2019,Other Portfolio Sector,Regular Payment,2009
Number of sales by premium payment method type and sector,Q2-2018,Other Portfolio Sector,Regular Payment,4052
Number of sales by premium payment method type and sector,Q3-2019,Other Portfolio Sector,Regular Payment,768
Number of sales by premium payment method type and sector,Q3-2020,Other Portfolio Sector,Regular Payment,791
Number of sales by premium payment method type and sector,Q3-2017,Other Portfolio Sector,Regular Payment,802
Number of sales by premium payment method type and sector,Q3-2021,Other Portfolio Sector,Regular Payment,1448
Number of sales by premium payment method type and sector,Q3-2018,Other Portfolio Sector,Regular Payment,1568
Number of sales by premium payment method type and sector,Q4-2020,Other Portfolio Sector,Regular Payment,530
Number of sales by premium payment method type and sector,Q4-2017,Other Portfolio Sector,Regular Payment,816
Number of sales by premium payment method type and sector,Q4-2018,Other Portfolio Sector,Regular Payment,838
Number of sales by premium payment method type and sector,Q4-2019,Other Portfolio Sector,Regular Payment,886
Number of sales by premium payment method type and sector,Q4-2021,Other Portfolio Sector,Regular Payment,1514
Number of sales by premium payment method type and sector,Q1-2021,Other Portfolio Sector,Single Payment,447
Number of sales by premium payment method type and sector,Q1-2020,Other Portfolio Sector,Single Payment,653
Number of sales by premium payment method type and sector,Q1-2019,Other Portfolio Sector,Single Payment,951
Number of sales by premium payment method type and sector,Q1-2018,Other Portfolio Sector,Single Payment,988
Number of sales by premium payment method type and sector,Q1-2017,Other Portfolio Sector,Single Payment,2215
Number of sales by premium payment method type and sector,Q2-2020,Other Portfolio Sector,Single Payment,284
Number of sales by premium payment method type and sector,Q2-2021,Other Portfolio Sector,Single Payment,337
Number of sales by premium payment method type and sector,Q2-2019,Other Portfolio Sector,Single Payment,925
Number of sales by premium payment method type and sector,Q2-2018,Other Portfolio Sector,Single Payment,1132
Number of sales by premium payment method type and sector,Q2-2017,Other Portfolio Sector,Single Payment,1620
Number of sales by premium payment method type and sector,Q3-2020,Other Portfolio Sector,Single Payment,348
Number of sales by premium payment method type and sector,Q3-2021,Other Portfolio Sector,Single Payment,472
Number of sales by premium payment method type and sector,Q3-2019,Other Portfolio Sector,Single Payment,710
Number of sales by premium payment method type and sector,Q3-2018,Other Portfolio Sector,Single Payment,741
Number of sales by premium payment method type and sector,Q3-2017,Other Portfolio Sector,Single Payment,1385
Number of sales by premium payment method type and sector,Q4-2021,Other Portfolio Sector,Single Payment,366
Number of sales by premium payment method type and sector,Q4-2020,Other Portfolio Sector,Single Payment,371
Number of sales by premium payment method type and sector,Q4-2019,Other Portfolio Sector,Single Payment,719
Number of sales by premium payment method type and sector,Q4-2018,Other Portfolio Sector,Single Payment,745
Number of sales by premium payment method type and sector,Q4-2017,Other Portfolio Sector,Single Payment,1019
Number of sales by premium payment method type and sector,Q1-2021,Pensions & Retirement Income,Regular Payment,323872
Number of sales by premium payment method type and sector,Q1-2019,Pensions & Retirement Income,Regular Payment,329215
Number of sales by premium payment method type and sector,Q1-2020,Pensions & Retirement Income,Regular Payment,363500
Number of sales by premium payment method type and sector,Q1-2018,Pensions & Retirement Income,Regular Payment,368526
Number of sales by premium payment method type and sector,Q1-2017,Pensions & Retirement Income,Regular Payment,392212
Number of sales by premium payment method type and sector,Q2-2021,Pensions & Retirement Income,Regular Payment,245858
Number of sales by premium payment method type and sector,Q2-2020,Pensions & Retirement Income,Regular Payment,264760
Number of sales by premium payment method type and sector,Q2-2018,Pensions & Retirement Income,Regular Payment,353168
Number of sales by premium payment method type and sector,Q2-2019,Pensions & Retirement Income,Regular Payment,365175
Number of sales by premium payment method type and sector,Q2-2017,Pensions & Retirement Income,Regular Payment,431736
Number of sales by premium payment method type and sector,Q3-2020,Pensions & Retirement Income,Regular Payment,223096
Number of sales by premium payment method type and sector,Q3-2021,Pensions & Retirement Income,Regular Payment,279363
Number of sales by premium payment method type and sector,Q3-2019,Pensions & Retirement Income,Regular Payment,353409
Number of sales by premium payment method type and sector,Q3-2018,Pensions & Retirement Income,Regular Payment,378812
Number of sales by premium payment method type and sector,Q3-2017,Pensions & Retirement Income,Regular Payment,432481
Number of sales by premium payment method type and sector,Q4-2020,Pensions & Retirement Income,Regular Payment,289071
Number of sales by premium payment method type and sector,Q4-2021,Pensions & Retirement Income,Regular Payment,328526
Number of sales by premium payment method type and sector,Q4-2018,Pensions & Retirement Income,Regular Payment,369729
Number of sales by premium payment method type and sector,Q4-2019,Pensions & Retirement Income,Regular Payment,372779
Number of sales by premium payment method type and sector,Q4-2017,Pensions & Retirement Income,Regular Payment,409035
Number of sales by premium payment method type and sector,Q1-2020,Pensions & Retirement Income,Single Payment,128205
Number of sales by premium payment method type and sector,Q1-2019,Pensions & Retirement Income,Single Payment,132777
Number of sales by premium payment method type and sector,Q1-2018,Pensions & Retirement Income,Single Payment,149762
Number of sales by premium payment method type and sector,Q1-2017,Pensions & Retirement Income,Single Payment,165121
Number of sales by premium payment method type and sector,Q1-2021,Pensions & Retirement Income,Single Payment,188321
Number of sales by premium payment method type and sector,Q2-2020,Pensions & Retirement Income,Single Payment,101411
Number of sales by premium payment method type and sector,Q2-2021,Pensions & Retirement Income,Single Payment,128555
Number of sales by premium payment method type and sector,Q2-2019,Pensions & Retirement Income,Single Payment,136083
Number of sales by premium payment method type and sector,Q2-2018,Pensions & Retirement Income,Single Payment,143262
Number of sales by premium payment method type and sector,Q2-2017,Pensions & Retirement Income,Single Payment,153605
Number of sales by premium payment method type and sector,Q3-2020,Pensions & Retirement Income,Single Payment,104679
Number of sales by premium payment method type and sector,Q3-2021,Pensions & Retirement Income,Single Payment,119587
Number of sales by premium payment method type and sector,Q3-2018,Pensions & Retirement Income,Single Payment,131558
Number of sales by premium payment method type and sector,Q3-2019,Pensions & Retirement Income,Single Payment,136232
Number of sales by premium payment method type and sector,Q3-2017,Pensions & Retirement Income,Single Payment,147225
Number of sales by premium payment method type and sector,Q4-2020,Pensions & Retirement Income,Single Payment,119293
Number of sales by premium payment method type and sector,Q4-2021,Pensions & Retirement Income,Single Payment,125911
Number of sales by premium payment method type and sector,Q4-2019,Pensions & Retirement Income,Single Payment,127968
Number of sales by premium payment method type and sector,Q4-2018,Pensions & Retirement Income,Single Payment,142393
Number of sales by premium payment method type and sector,Q4-2017,Pensions & Retirement Income,Single Payment,164468
Number of sales by premium payment method type and sector,Q1-2020,Retail Banking,Regular and single payments,3121
Number of sales by premium payment method type and sector,Q1-2019,Retail Banking,Regular and single payments,3837
Number of sales by premium payment method type and sector,Q1-2017,Retail Banking,Regular and single payments,8061
Number of sales by premium payment method type and sector,Q1-2018,Retail Banking,Regular and single payments,8164
Number of sales by premium payment method type and sector,Q1-2021,Retail Banking,Regular and single payments,13910
Number of sales by premium payment method type and sector,Q2-2020,Retail Banking,Regular and single payments,2279
Number of sales by premium payment method type and sector,Q2-2019,Retail Banking,Regular and single payments,3346
Number of sales by premium payment method type and sector,Q2-2021,Retail Banking,Regular and single payments,4749
Number of sales by premium payment method type and sector,Q2-2018,Retail Banking,Regular and single payments,6541
Number of sales by premium payment method type and sector,Q2-2017,Retail Banking,Regular and single payments,8006
Number of sales by premium payment method type and sector,Q3-2019,Retail Banking,Regular and single payments,4119
Number of sales by premium payment method type and sector,Q3-2017,Retail Banking,Regular and single payments,6133
Number of sales by premium payment method type and sector,Q3-2018,Retail Banking,Regular and single payments,6241
Number of sales by premium payment method type and sector,Q3-2021,Retail Banking,Regular and single payments,7302
Number of sales by premium payment method type and sector,Q3-2020,Retail Banking,Regular and single payments,7870
Number of sales by premium payment method type and sector,Q4-2019,Retail Banking,Regular and single payments,1865
Number of sales by premium payment method type and sector,Q4-2018,Retail Banking,Regular and single payments,4304
Number of sales by premium payment method type and sector,Q4-2021,Retail Banking,Regular and single payments,4640
Number of sales by premium payment method type and sector,Q4-2017,Retail Banking,Regular and single payments,4844
Number of sales by premium payment method type and sector,Q4-2020,Retail Banking,Regular and single payments,7201
Number of sales by premium payment method type and sector,Q1-2020,Retail Investments,Regular Payment,18452
Number of sales by premium payment method type and sector,Q1-2019,Retail Investments,Regular Payment,23453
Number of sales by premium payment method type and sector,Q1-2021,Retail Investments,Regular Payment,38478
Number of sales by premium payment method type and sector,Q1-2017,Retail Investments,Regular Payment,40436
Number of sales by premium payment method type and sector,Q1-2018,Retail Investments,Regular Payment,41427
Number of sales by premium payment method type and sector,Q2-2020,Retail Investments,Regular Payment,19211
Number of sales by premium payment method type and sector,Q2-2021,Retail Investments,Regular Payment,29178
Number of sales by premium payment method type and sector,Q2-2019,Retail Investments,Regular Payment,32942
Number of sales by premium payment method type and sector,Q2-2017,Retail Investments,Regular Payment,48932
Number of sales by premium payment method type and sector,Q2-2018,Retail Investments,Regular Payment,60767
Number of sales by premium payment method type and sector,Q3-2020,Retail Investments,Regular Payment,16466
Number of sales by premium payment method type and sector,Q3-2021,Retail Investments,Regular Payment,25340
Number of sales by premium payment method type and sector,Q3-2019,Retail Investments,Regular Payment,26966
Number of sales by premium payment method type and sector,Q3-2017,Retail Investments,Regular Payment,35967
Number of sales by premium payment method type and sector,Q3-2018,Retail Investments,Regular Payment,36883
Number of sales by premium payment method type and sector,Q4-2020,Retail Investments,Regular Payment,24910
Number of sales by premium payment method type and sector,Q4-2019,Retail Investments,Regular Payment,30105
Number of sales by premium payment method type and sector,Q4-2021,Retail Investments,Regular Payment,31063
Number of sales by premium payment method type and sector,Q4-2018,Retail Investments,Regular Payment,41941
Number of sales by premium payment method type and sector,Q4-2017,Retail Investments,Regular Payment,52478
Number of sales by premium payment method type and sector,Q1-2017,Retail Investments,Single Payment,82238
Number of sales by premium payment method type and sector,Q1-2018,Retail Investments,Single Payment,90319
Number of sales by premium payment method type and sector,Q1-2019,Retail Investments,Single Payment,96071
Number of sales by premium payment method type and sector,Q1-2020,Retail Investments,Single Payment,129312
Number of sales by premium payment method type and sector,Q1-2021,Retail Investments,Single Payment,307556
Number of sales by premium payment method type and sector,Q2-2017,Retail Investments,Single Payment,73758
Number of sales by premium payment method type and sector,Q2-2019,Retail Investments,Single Payment,93609
Number of sales by premium payment method type and sector,Q2-2018,Retail Investments,Single Payment,96998
Number of sales by premium payment method type and sector,Q2-2020,Retail Investments,Single Payment,118025
Number of sales by premium payment method type and sector,Q2-2021,Retail Investments,Single Payment,159636
Number of sales by premium payment method type and sector,Q3-2017,Retail Investments,Single Payment,79686
Number of sales by premium payment method type and sector,Q3-2018,Retail Investments,Single Payment,92962
Number of sales by premium payment method type and sector,Q3-2019,Retail Investments,Single Payment,106122
Number of sales by premium payment method type and sector,Q3-2020,Retail Investments,Single Payment,122790
Number of sales by premium payment method type and sector,Q3-2021,Retail Investments,Single Payment,145595
Number of sales by premium payment method type and sector,Q4-2018,Retail Investments,Single Payment,89718
Number of sales by premium payment method type and sector,Q4-2017,Retail Investments,Single Payment,105331
Number of sales by premium payment method type and sector,Q4-2019,Retail Investments,Single Payment,134559
Number of sales by premium payment method type and sector,Q4-2020,Retail Investments,Single Payment,147896
Number of sales by premium payment method type and sector,Q4-2021,Retail Investments,Single Payment,149581
Number of sales by premium payment method type and sector,Q1-2019,Wholesale Financial Markets,Regular and single payments,3732
Number of sales by premium payment method type and sector,Q1-2021,Wholesale Financial Markets,Regular and single payments,5643
Number of sales by premium payment method type and sector,Q1-2018,Wholesale Financial Markets,Regular and single payments,6273
Number of sales by premium payment method type and sector,Q1-2020,Wholesale Financial Markets,Regular and single payments,6544
Number of sales by premium payment method type and sector,Q1-2017,Wholesale Financial Markets,Regular and single payments,7300
Number of sales by premium payment method type and sector,Q2-2018,Wholesale Financial Markets,Regular and single payments,4488
Number of sales by premium payment method type and sector,Q2-2020,Wholesale Financial Markets,Regular and single payments,4913
Number of sales by premium payment method type and sector,Q2-2021,Wholesale Financial Markets,Regular and single payments,4948
Number of sales by premium payment method type and sector,Q2-2019,Wholesale Financial Markets,Regular and single payments,5834
Number of sales by premium payment method type and sector,Q2-2017,Wholesale Financial Markets,Regular and single payments,6693
Number of sales by premium payment method type and sector,Q3-2018,Wholesale Financial Markets,Regular and single payments,3077
Number of sales by premium payment method type and sector,Q3-2021,Wholesale Financial Markets,Regular and single payments,3832
Number of sales by premium payment method type and sector,Q3-2020,Wholesale Financial Markets,Regular and single payments,4475
Number of sales by premium payment method type and sector,Q3-2019,Wholesale Financial Markets,Regular and single payments,4700
Number of sales by premium payment method type and sector,Q3-2017,Wholesale Financial Markets,Regular and single payments,6014
Number of sales by premium payment method type and sector,Q4-2021,Wholesale Financial Markets,Regular and single payments,3169
Number of sales by premium payment method type and sector,Q4-2018,Wholesale Financial Markets,Regular and single payments,3468
Number of sales by premium payment method type and sector,Q4-2017,Wholesale Financial Markets,Regular and single payments,4826
Number of sales by premium payment method type and sector,Q4-2020,Wholesale Financial Markets,Regular and single payments,5077
Number of sales by premium payment method type and sector,Q4-2019,Wholesale Financial Markets,Regular and single payments,5552
Number of provider and non-provider sales by product type,Q1-2020,Bonds,Non-provider,13194
Number of provider and non-provider sales by product type,Q1-2019,Bonds,Non-provider,13245
Number of provider and non-provider sales by product type,Q1-2018,Bonds,Non-provider,14697
Number of provider and non-provider sales by product type,Q1-2017,Bonds,Non-provider,17209
Number of provider and non-provider sales by product type,Q1-2021,Bonds,Non-provider,17795
Number of provider and non-provider sales by product type,Q2-2020,Bonds,Non-provider,12200
Number of provider and non-provider sales by product type,Q2-2019,Bonds,Non-provider,15863
Number of provider and non-provider sales by product type,Q2-2021,Bonds,Non-provider,15910
Number of provider and non-provider sales by product type,Q2-2018,Bonds,Non-provider,16572
Number of provider and non-provider sales by product type,Q2-2017,Bonds,Non-provider,18039
Number of provider and non-provider sales by product type,Q3-2020,Bonds,Non-provider,10959
Number of provider and non-provider sales by product type,Q3-2021,Bonds,Non-provider,13616
Number of provider and non-provider sales by product type,Q3-2019,Bonds,Non-provider,13875
Number of provider and non-provider sales by product type,Q3-2018,Bonds,Non-provider,14578
Number of provider and non-provider sales by product type,Q3-2017,Bonds,Non-provider,16728
Number of provider and non-provider sales by product type,Q4-2020,Bonds,Non-provider,11775
Number of provider and non-provider sales by product type,Q4-2018,Bonds,Non-provider,14014
Number of provider and non-provider sales by product type,Q4-2019,Bonds,Non-provider,14251
Number of provider and non-provider sales by product type,Q4-2021,Bonds,Non-provider,14514
Number of provider and non-provider sales by product type,Q4-2017,Bonds,Non-provider,17304
Number of provider and non-provider sales by product type,Q1-2021,Bonds,Provider,1407
Number of provider and non-provider sales by product type,Q1-2018,Bonds,Provider,1767
Number of provider and non-provider sales by product type,Q1-2019,Bonds,Provider,1954
Number of provider and non-provider sales by product type,Q1-2020,Bonds,Provider,2328
Number of provider and non-provider sales by product type,Q1-2017,Bonds,Provider,2643
Number of provider and non-provider sales by product type,Q2-2021,Bonds,Provider,1174
Number of provider and non-provider sales by product type,Q2-2020,Bonds,Provider,1409
Number of provider and non-provider sales by product type,Q2-2018,Bonds,Provider,1889
Number of provider and non-provider sales by product type,Q2-2019,Bonds,Provider,1969
Number of provider and non-provider sales by product type,Q2-2017,Bonds,Provider,2610
Number of provider and non-provider sales by product type,Q3-2021,Bonds,Provider,946
Number of provider and non-provider sales by product type,Q3-2020,Bonds,Provider,1407
Number of provider and non-provider sales by product type,Q3-2018,Bonds,Provider,1839
Number of provider and non-provider sales by product type,Q3-2019,Bonds,Provider,2112
Number of provider and non-provider sales by product type,Q3-2017,Bonds,Provider,2552
Number of provider and non-provider sales by product type,Q4-2021,Bonds,Provider,1241
Number of provider and non-provider sales by product type,Q4-2019,Bonds,Provider,1548
Number of provider and non-provider sales by product type,Q4-2020,Bonds,Provider,1635
Number of provider and non-provider sales by product type,Q4-2018,Bonds,Provider,1721
Number of provider and non-provider sales by product type,Q4-2017,Bonds,Provider,3749
Number of provider and non-provider sales by product type,Q1-2017,Decumulation products,Non-provider,43635
Number of provider and non-provider sales by product type,Q1-2018,Decumulation products,Non-provider,45426
Number of provider and non-provider sales by product type,Q1-2020,Decumulation products,Non-provider,46456
Number of provider and non-provider sales by product type,Q1-2019,Decumulation products,Non-provider,50621
Number of provider and non-provider sales by product type,Q1-2021,Decumulation products,Non-provider,56278
Number of provider and non-provider sales by product type,Q2-2020,Decumulation products,Non-provider,34321
Number of provider and non-provider sales by product type,Q2-2017,Decumulation products,Non-provider,46777
Number of provider and non-provider sales by product type,Q2-2021,Decumulation products,Non-provider,48300
Number of provider and non-provider sales by product type,Q2-2019,Decumulation products,Non-provider,52785
Number of provider and non-provider sales by product type,Q2-2018,Decumulation products,Non-provider,54680
Number of provider and non-provider sales by product type,Q3-2020,Decumulation products,Non-provider,40486
Number of provider and non-provider sales by product type,Q3-2017,Decumulation products,Non-provider,48186
Number of provider and non-provider sales by product type,Q3-2021,Decumulation products,Non-provider,48531
Number of provider and non-provider sales by product type,Q3-2019,Decumulation products,Non-provider,53137
Number of provider and non-provider sales by product type,Q3-2018,Decumulation products,Non-provider,54157
Number of provider and non-provider sales by product type,Q4-2021,Decumulation products,Non-provider,46487
Number of provider and non-provider sales by product type,Q4-2020,Decumulation products,Non-provider,46899
Number of provider and non-provider sales by product type,Q4-2019,Decumulation products,Non-provider,49355
Number of provider and non-provider sales by product type,Q4-2017,Decumulation products,Non-provider,49492
Number of provider and non-provider sales by product type,Q4-2018,Decumulation products,Non-provider,51787
Number of provider and non-provider sales by product type,Q1-2017,Decumulation products,Provider,11618
Number of provider and non-provider sales by product type,Q1-2018,Decumulation products,Provider,12252
Number of provider and non-provider sales by product type,Q1-2019,Decumulation products,Provider,14413
